# Experiment A — audit trail
# script: defense_figures/experiment_a_autonomous_vs_driven/make_experiment_a_figures.py
# pickle: chapter6Experiments/results/ch6_exp1_full.pkl
# reservoir_class: chapter6Experiments/run_chapter6_exp1_esp.py:Reservoir (sparse Gaussian, no SR rescaling)
# reservoir_seed: 42
# n_res: 256
# beta: 0.05
# threshold: 0.5
# density: 0.10
# sigma_w_rec: 0.05
# sigma_w_in: 0.30
# rho_W_rec: 0.2647549015
# T_renorm: 50
# delta_0: 1e-08
# n_measurements: 3165
# columns: trial,subject,class,channel,lambda1
trial,subject,class,channel,lambda1
110,45,2,33,-0.0618226600
111,46,0,0,-0.0616574747
111,46,0,8,-0.0618156911
111,46,0,16,-0.0617617205
111,46,0,24,-0.0617614196
111,46,0,33,-0.0619268179
112,46,1,0,-0.0619122620
112,46,1,8,-0.0617614426
112,46,1,16,-0.0616853771
112,46,1,24,-0.0622368960
112,46,1,33,-0.0616345528
113,46,2,0,-0.0619121836
113,46,2,8,-0.0616575008
113,46,2,16,-0.0614863480
113,46,2,24,-0.0619046567
113,46,2,33,-0.0615308464
114,47,0,0,-0.0621391135
114,47,0,8,-0.0623094220
114,47,0,16,-0.0617685224
114,47,0,24,-0.0616102155
114,47,0,33,-0.0618482523
115,47,1,0,-0.0620390300
115,47,1,8,-0.0621387975
115,47,1,16,-0.0622167196
115,47,1,24,-0.0621388871
115,47,1,33,-0.0623071332
116,47,2,0,-0.0622407249
116,47,2,8,-0.0623271426
116,47,2,16,-0.0618225874
116,47,2,24,-0.0620732068
116,47,2,33,-0.0619122120
117,48,0,0,-0.0615329488
117,48,0,8,-0.0614862960
117,48,0,16,-0.0621054399
117,48,0,24,-0.0613636870
117,48,0,33,-0.0622087311
118,48,1,0,-0.0615053931
118,48,1,8,-0.0620256612
118,48,1,16,-0.0621594891
118,48,1,24,-0.0616278954
118,48,1,33,-0.0623246084
119,48,2,0,-0.0616079467
119,48,2,8,-0.0618154169
119,48,2,16,-0.0618556074
119,48,2,24,-0.0616575161
119,48,2,33,-0.0619122072
120,49,0,0,-0.0616814000
120,49,0,8,-0.0621388326
120,49,0,16,-0.0618225863
120,49,0,24,-0.0621389170
120,49,0,33,-0.0616782723
121,49,1,0,-0.0616735829
121,49,1,8,-0.0620596569
121,49,1,16,-0.0618556616
121,49,1,24,-0.0620930823
121,49,1,33,-0.0619045869
122,49,2,0,-0.0619036021
122,49,2,8,-0.0623186354
122,49,2,16,-0.0618226031
122,49,2,24,-0.0623094472
122,49,2,33,-0.0623086411
123,50,0,0,-0.0618482483
123,50,0,8,-0.0616881824
123,50,0,16,-0.0616851123
123,50,0,24,-0.0618556183
123,50,0,33,-0.0618226351
124,50,1,0,-0.0625419038
124,50,1,8,-0.0624647743
124,50,1,16,-0.0618226323
124,50,1,24,-0.0614799409
124,50,1,33,-0.0616850936
125,50,2,0,-0.0614859990
125,50,2,8,-0.0615332312
125,50,2,16,-0.0619121420
125,50,2,24,-0.0617614408
125,50,2,33,-0.0619122317
126,51,0,0,-0.0615617594
126,51,0,8,-0.0614778759
126,51,0,16,-0.0622086993
126,51,0,24,-0.0616344999
126,51,0,33,-0.0624201253
127,51,1,0,-0.0618482493
127,51,1,8,-0.0624861803
127,51,1,16,-0.0618153762
127,51,1,24,-0.0616814236
127,51,1,33,-0.0622088079
128,51,2,0,-0.0616013654
128,51,2,8,-0.0618485372
128,51,2,16,-0.0620060733
128,51,2,24,-0.0617687843
128,51,2,33,-0.0622006833
129,52,0,0,-0.0619122336
129,52,0,8,-0.0618227016
129,52,0,16,-0.0616851191
129,52,0,24,-0.0616509001
129,52,0,33,-0.0618483012
130,52,1,0,-0.0622473048
130,52,1,8,-0.0629827387
130,52,1,16,-0.0622369526
130,52,1,24,-0.0619036147
130,52,1,33,-0.0617769010
131,52,2,0,-0.0618156572
131,52,2,8,-0.0618225893
131,52,2,16,-0.0617614373
131,52,2,24,-0.0616011210
131,52,2,33,-0.0618153578
132,53,0,0,-0.0625527068
132,53,0,8,-0.0616076406
132,53,0,16,-0.0618153502
132,53,0,24,-0.0620627216
132,53,0,33,-0.0622673583
133,53,1,0,-0.0618936607
133,53,1,8,-0.0630597865
133,53,1,16,-0.0618226151
133,53,1,24,-0.0620468609
133,53,1,33,-0.0620256532
134,53,2,0,-0.0620545223
134,53,2,8,-0.0618556285
134,53,2,16,-0.0622764795
134,53,2,24,-0.0619036006
134,53,2,33,-0.0622087494
135,54,0,0,-0.0620437747
135,54,0,8,-0.0617769382
135,54,0,16,-0.0623086490
135,54,0,24,-0.0616345153
135,54,0,33,-0.0624201541
136,54,1,0,-0.0616279089
136,54,1,8,-0.0616282407
136,54,1,16,-0.0621897810
136,54,1,24,-0.0616372418
136,54,1,33,-0.0621897598
137,54,2,0,-0.0622369923
137,54,2,8,-0.0623517094
137,54,2,16,-0.0618481631
137,54,2,24,-0.0620390410
137,54,2,33,-0.0625299180
138,55,0,0,-0.0619046051
138,55,0,8,-0.0618153495
138,55,0,16,-0.0616577815
138,55,0,24,-0.0618485674
138,55,0,33,-0.0618557064
139,55,1,0,-0.0625418541
139,55,1,8,-0.0622369162
139,55,1,16,-0.0621999715
139,55,1,24,-0.0623516874
139,55,1,33,-0.0616783909
140,55,2,0,-0.0618226383
140,55,2,8,-0.0616509154
140,55,2,16,-0.0617399981
140,55,2,24,-0.0619035948
140,55,2,33,-0.0619122076
141,56,0,0,-0.0621388468
141,56,0,8,-0.0625506223
141,56,0,16,-0.0621053798
141,56,0,24,-0.0621392398
141,56,0,33,-0.0622764114
142,56,1,0,-0.0621388131
142,56,1,8,-0.0624202139
142,56,1,16,-0.0621594859
142,56,1,24,-0.0621388694
142,56,1,33,-0.0617614132
143,56,2,0,-0.0619133286
143,56,2,8,-0.0624569813
143,56,2,16,-0.0621054073
143,56,2,24,-0.0621388201
143,56,2,33,-0.0616850874
144,57,0,0,-0.0623085672
144,57,0,8,-0.0618482338
144,57,0,16,-0.0623894484
144,57,0,24,-0.0616278972
144,57,0,33,-0.0616576143
145,57,1,0,-0.0618154050
145,57,1,8,-0.0624202193
145,57,1,16,-0.0618556588
145,57,1,24,-0.0625522408
145,57,1,33,-0.0617328948
146,57,2,0,-0.0617684520
146,57,2,8,-0.0617329217
146,57,2,16,-0.0617330075
146,57,2,24,-0.0622302386
146,57,2,33,-0.0616575366
147,58,0,0,-0.0621705792
147,58,0,8,-0.0622577545
147,58,0,16,-0.0619122042
147,58,0,24,-0.0620769950
147,58,0,33,-0.0622673178
148,58,1,0,-0.0620153185
148,58,1,8,-0.0624201936
148,58,1,16,-0.0619122578
148,58,1,24,-0.0617028935
148,58,1,33,-0.0618226582
149,58,2,0,-0.0625299266
149,58,2,8,-0.0623901462
149,58,2,16,-0.0618482282
149,58,2,24,-0.0619211143
149,58,2,33,-0.0618556930
150,62,0,0,-0.0619211578
150,62,0,8,-0.0617616518
150,62,0,16,-0.0619046857
150,62,0,24,-0.0624777351
150,62,0,33,-0.0618482600
151,62,1,0,-0.0631214266
151,62,1,8,-0.0622369188
151,62,1,16,-0.0619046659
151,62,1,24,-0.0632439650
151,62,1,33,-0.0618482523
152,62,2,0,-0.0624648253
152,62,2,8,-0.0620431229
152,62,2,16,-0.0619122005
152,62,2,24,-0.0619208486
152,62,2,33,-0.0618482521
153,63,0,0,-0.0616508726
153,63,0,8,-0.0617687438
153,63,0,16,-0.0617329141
153,63,0,24,-0.0617614553
153,63,0,33,-0.0620767099
